year_month,reason,count
2017-05,It contains irrelevant information that is not useful,1
2017-05,It contains promotional materials,1
2017-05,"It contains threats, lewdness or hate speech",2
2017-05,It violates ApartmentRatings' privacy standards,2
2017-05,It was posted by someone affiliated with the community,1
2017-05,It's for the wrong community,2
2017-06,It contains false information,53
2017-06,It contains irrelevant information that is not useful,28
2017-06,It contains promotional materials,2
2017-06,"It contains threats, lewdness or hate speech",145
2017-06,It violates ApartmentRatings' privacy standards,125
2017-06,"It was posted by a competitor, ex-employee or evicted resident",87
2017-06,It was posted by someone affiliated with the community,55
2017-06,It's for the wrong community,36
2017-07,It contains false information,97
2017-07,It contains irrelevant information that is not useful,29
2017-07,It contains promotional materials,4
2017-07,"It contains threats, lewdness or hate speech",123
2017-07,It violates ApartmentRatings' privacy standards,141
2017-07,"It was posted by a competitor, ex-employee or evicted resident",85
2017-07,It was posted by someone affiliated with the community,55
2017-07,It's for the wrong community,31
2017-08,It contains false information,107
2017-08,It contains irrelevant information that is not useful,48
2017-08,It contains promotional materials,2
2017-08,"It contains threats, lewdness or hate speech",110
2017-08,It violates ApartmentRatings' privacy standards,143
2017-08,"It was posted by a competitor, ex-employee or evicted resident",117
2017-08,It was posted by someone affiliated with the community,89
2017-08,It's for the wrong community,38
2017-09,It contains false information,51
2017-09,It contains irrelevant information that is not useful,40
2017-09,It contains promotional materials,4
2017-09,"It contains threats, lewdness or hate speech",100
2017-09,It violates ApartmentRatings' privacy standards,97
2017-09,"It was posted by a competitor, ex-employee or evicted resident",86
2017-09,It was posted by someone affiliated with the community,91
2017-09,It's for the wrong community,31
2017-10,It contains false information,83
2017-10,It contains irrelevant information that is not useful,25
2017-10,It contains promotional materials,6
2017-10,"It contains threats, lewdness or hate speech",92
2017-10,It violates ApartmentRatings' privacy standards,128
2017-10,"It was posted by a competitor, ex-employee or evicted resident",117
2017-10,It was posted by someone affiliated with the community,69
2017-10,It's for the wrong community,36
2017-11,It contains false information,75
2017-11,It contains irrelevant information that is not useful,33
2017-11,It contains promotional materials,7
2017-11,"It contains threats, lewdness or hate speech",80
2017-11,It violates ApartmentRatings' privacy standards,139
2017-11,"It was posted by a competitor, ex-employee or evicted resident",74
2017-11,It was posted by someone affiliated with the community,76
2017-11,It's for the wrong community,40
2017-12,It contains false information,120
2017-12,It contains irrelevant information that is not useful,40
2017-12,It contains promotional materials,10
2017-12,"It contains threats, lewdness or hate speech",124
2017-12,It violates ApartmentRatings' privacy standards,114
2017-12,"It was posted by a competitor, ex-employee or evicted resident",84
2017-12,It was posted by someone affiliated with the community,116
2017-12,It's for the wrong community,45
2018-01,It contains false information,130
2018-01,It contains irrelevant information that is not useful,35
2018-01,It contains promotional materials,9
2018-01,"It contains threats, lewdness or hate speech",146
2018-01,It violates ApartmentRatings' privacy standards,130
2018-01,"It was posted by a competitor, ex-employee or evicted resident",160
2018-01,It was posted by someone affiliated with the community,124
2018-01,It's for the wrong community,89
2018-02,It contains false information,191
2018-02,It contains irrelevant information that is not useful,37
2018-02,It contains promotional materials,39
2018-02,"It contains threats, lewdness or hate speech",147
2018-02,It violates ApartmentRatings' privacy standards,137
2018-02,"It was posted by a competitor, ex-employee or evicted resident",157
2018-02,It was posted by someone affiliated with the community,73
2018-02,It's for the wrong community,50
2018-03,It contains false information,175
2018-03,It contains irrelevant information that is not useful,40
2018-03,It contains promotional materials,13
2018-03,"It contains threats, lewdness or hate speech",136
2018-03,It violates ApartmentRatings' privacy standards,129
2018-03,"It was posted by a competitor, ex-employee or evicted resident",182
2018-03,It was posted by someone affiliated with the community,107
2018-03,It's for the wrong community,38
2018-04,It contains false information,135
2018-04,It contains irrelevant information that is not useful,38
2018-04,It contains promotional materials,9
2018-04,"It contains threats, lewdness or hate speech",151
