reason,term,score
12,zones,0.0
12,go the,0.0
12,go into,0.0
12,go live,0.0
12,go look,0.0
12,go off,0.0
12,go on,0.0
12,go out,0.0
12,go outside,0.0
12,go over,0.0
12,go see,0.0
12,go somewhere,0.0
12,go specially,0.0
12,go straight,0.0
12,go there,0.0
13,zones,0.0
13,go the,0.0
13,go into,0.0
13,go live,0.0
13,go look,0.0
13,go off,0.0
13,go on,0.0
13,go out,0.0
13,go outside,0.0
13,go over,0.0
13,go see,0.0
13,go somewhere,0.0
13,go specially,0.0
13,go straight,0.0
13,go there,0.0
15,zones,0.0
15,go the,0.0
15,go into,0.0
15,go live,0.0
15,go look,0.0
15,go off,0.0
15,go on,0.0
15,go out,0.0
15,go outside,0.0
15,go over,0.0
15,go see,0.0
15,go somewhere,0.0
15,go specially,0.0
15,go straight,0.0
15,go there,0.0
16,zones,0.0
16,go the,0.0
16,go into,0.0
16,go live,0.0
16,go look,0.0
16,go off,0.0
16,go on,0.0
16,go out,0.0
16,go outside,0.0
16,go over,0.0
16,go see,0.0
16,go somewhere,0.0
16,go specially,0.0
16,go straight,0.0
16,go there,0.0
20,zones,0.0
20,go the,0.0
20,go into,0.0
20,go live,0.0
20,go look,0.0
20,go off,0.0
20,go on,0.0
20,go out,0.0
20,go outside,0.0
20,go over,0.0
20,go see,0.0
20,go somewhere,0.0
20,go specially,0.0
20,go straight,0.0
20,go there,0.0
22,zones,0.0
22,go the,0.0
22,go into,0.0
22,go live,0.0
22,go look,0.0
22,go off,0.0
22,go on,0.0
22,go out,0.0
22,go outside,0.0
22,go over,0.0
22,go see,0.0
22,go somewhere,0.0
22,go specially,0.0
22,go straight,0.0
22,go there,0.0
It contains false information,the,0.0977280645395841
It contains false information,and,0.0713951963608184
It contains false information,to,0.06111940456602673
It contains false information,is,0.03912251434694478
It contains false information,they,0.038269005739239075
It contains false information,in,0.03819157092240974
It contains false information,apos,0.0346628413968198
It contains false information,of,0.03450907804537568
It contains false information,you,0.033070538161794234
It contains false information,was,0.030943906656994796
It contains false information,it,0.030683840979140474
It contains false information,my,0.028764864951111937
It contains false information,that,0.028157675760204785
It contains false information,for,0.028056040182812197
It contains false information,not,0.026398932379501035
It contains irrelevant information that is not useful,the,0.08269498222559414
It contains irrelevant information that is not useful,and,0.05633991077879168
It contains irrelevant information that is not useful,to,0.04942706147123117
It contains irrelevant information that is not useful,44,0.03512140709459451
It contains irrelevant information that is not useful,is,0.03286460235665316
It contains irrelevant information that is not useful,in,0.03216548716223357
It contains irrelevant information that is not useful,of,0.02907057498866645
It contains irrelevant information that is not useful,you,0.026979335163929984
